id,Community,Degree
https://openalex.org/A5059645286,60,1147
https://openalex.org/A5100749553,23,501
https://openalex.org/A5100320883,50,431
https://openalex.org/A5100343550,92,347
https://openalex.org/A5100435139,90,309
https://openalex.org/A5100614771,104,304
https://openalex.org/A5084282503,14,289
https://openalex.org/A5082554858,6,286
https://openalex.org/A5029849168,116,278
https://openalex.org/A5071261828,55,262
https://openalex.org/A5040639891,36,260
https://openalex.org/A5070239076,154,213
https://openalex.org/A5029100305,57,198
https://openalex.org/A5026615246,29,197
https://openalex.org/A5010449128,42,195
https://openalex.org/A5015061573,33,188
https://openalex.org/A5040468715,41,178
https://openalex.org/A5001227032,58,178
https://openalex.org/A5029913249,164,176
https://openalex.org/A5014662127,1,168
https://openalex.org/A5000043933,131,167
https://openalex.org/A5022272025,14,162
https://openalex.org/A5075283583,10,161
https://openalex.org/A5034372799,0,153
https://openalex.org/A5024505700,14,151
https://openalex.org/A5110825222,12,147
https://openalex.org/A5025218537,1,146
https://openalex.org/A5090631705,60,140
https://openalex.org/A5089384499,71,134
https://openalex.org/A5081008532,3,133
https://openalex.org/A5071422618,7,128
https://openalex.org/A5065232848,79,128
https://openalex.org/A5084267145,34,127
https://openalex.org/A5061225686,25,126
https://openalex.org/A5031386218,37,123
https://openalex.org/A5076193392,32,122
https://openalex.org/A5069885186,1,122
https://openalex.org/A5030329860,164,116
https://openalex.org/A5044898565,14,115
https://openalex.org/A5007166081,81,113
https://openalex.org/A5063652311,24,113
https://openalex.org/A5072406608,80,113
https://openalex.org/A5001314520,102,112
https://openalex.org/A5049262683,132,110
https://openalex.org/A5020533147,20,108
https://openalex.org/A5053938061,1,108
https://openalex.org/A5070657345,1,107
https://openalex.org/A5070659566,106,104
https://openalex.org/A5100605358,29,104
https://openalex.org/A5029945844,94,102
https://openalex.org/A5077381667,119,99
https://openalex.org/A5112966072,131,98
https://openalex.org/A5019502931,35,95
https://openalex.org/A5004281470,56,95
https://openalex.org/A5020744129,1,94
https://openalex.org/A5044130443,7,94
https://openalex.org/A5056242621,4,88
https://openalex.org/A5058534097,60,87
https://openalex.org/A5039250005,95,86
https://openalex.org/A5009973298,38,84
https://openalex.org/A5015211752,5,84
https://openalex.org/A5015561999,69,79
https://openalex.org/A5005475843,37,79
https://openalex.org/A5063913041,88,79
https://openalex.org/A5108060530,105,78
https://openalex.org/A5064626129,152,78
https://openalex.org/A5059787882,1,78
https://openalex.org/A5052720011,60,76
https://openalex.org/A5050944748,42,74
https://openalex.org/A5048687626,151,72
https://openalex.org/A5015711710,10,72
https://openalex.org/A5100779283,164,72
https://openalex.org/A5048877432,3,72
https://openalex.org/A5021840950,164,72
https://openalex.org/A5101130784,165,71
https://openalex.org/A5014647140,0,70
https://openalex.org/A5058335049,74,70
https://openalex.org/A5076620228,45,70
https://openalex.org/A5052965447,4,70
https://openalex.org/A5065845420,9,69
https://openalex.org/A5033765081,78,69
https://openalex.org/A5061006605,93,69
https://openalex.org/A5007176508,2,69
https://openalex.org/A5017602735,60,69
https://openalex.org/A5041808447,1,68
https://openalex.org/A5021955713,166,67
https://openalex.org/A5056499434,20,66
https://openalex.org/A5103438314,81,65
https://openalex.org/A5111487785,121,65
https://openalex.org/A5038233956,30,65
https://openalex.org/A5080030270,4,63
https://openalex.org/A5084222212,43,63
https://openalex.org/A5040217228,24,62
https://openalex.org/A5014048759,1,61
https://openalex.org/A5016371653,1,60
https://openalex.org/A5018392096,48,59
https://openalex.org/A5046908604,30,59
https://openalex.org/A5046546654,1,58
https://openalex.org/A5100377804,91,58
https://openalex.org/A5005219721,59,58
https://openalex.org/A5074129504,7,56
https://openalex.org/A5032558375,102,56
https://openalex.org/A5108047346,105,55
https://openalex.org/A5048056611,43,55
https://openalex.org/A5019818981,16,55
https://openalex.org/A5024396732,1,53
https://openalex.org/A5047618628,70,52
https://openalex.org/A5011048500,36,52
https://openalex.org/A5102984496,9,51
https://openalex.org/A5073407639,94,51
https://openalex.org/A5101576538,105,50
https://openalex.org/A5043881240,60,49
https://openalex.org/A5022456933,34,48
https://openalex.org/A5029582839,131,48
https://openalex.org/A5052035076,60,48
https://openalex.org/A5057286641,60,47
https://openalex.org/A5101568942,36,47
https://openalex.org/A5034406723,3,47
https://openalex.org/A5068173013,93,46
https://openalex.org/A5019739863,80,46
https://openalex.org/A5039448366,1,46
https://openalex.org/A5070491108,1,45
https://openalex.org/A5100399276,105,45
https://openalex.org/A5100645854,36,44
https://openalex.org/A5022164041,14,44
https://openalex.org/A5100331994,164,44
https://openalex.org/A5101176787,29,44
https://openalex.org/A5048789742,2,44
https://openalex.org/A5033656008,1,44
https://openalex.org/A5068819495,14,44
https://openalex.org/A5020278936,108,43
https://openalex.org/A5076683363,57,43
https://openalex.org/A5032693411,95,43
https://openalex.org/A5081236916,3,43
https://openalex.org/A5017375525,164,43
https://openalex.org/A5064296964,2,43
https://openalex.org/A5043347770,2,43
https://openalex.org/A5008643048,120,43
https://openalex.org/A5050198503,23,42
https://openalex.org/A5014957271,36,42
https://openalex.org/A5071088094,144,41
https://openalex.org/A5101900718,128,41
https://openalex.org/A5084405627,1,41
https://openalex.org/A5076143079,26,40
https://openalex.org/A5013599374,60,40
https://openalex.org/A5087251956,4,40
https://openalex.org/A5046718849,97,40
https://openalex.org/A5043970389,93,40
https://openalex.org/A5084415954,91,40
https://openalex.org/A5077792493,55,40
https://openalex.org/A5100758371,36,40
https://openalex.org/A5046011683,0,40
https://openalex.org/A5021346979,1,39
https://openalex.org/A5043696243,36,39
https://openalex.org/A5046036512,1,39
https://openalex.org/A5031799782,1,39
https://openalex.org/A5021224510,155,39
https://openalex.org/A5064926593,57,39
https://openalex.org/A5024898168,14,39
https://openalex.org/A5056216760,13,39
https://openalex.org/A5025745021,2,38
https://openalex.org/A5054649525,50,38
https://openalex.org/A5005446898,60,38
https://openalex.org/A5083517347,136,38
https://openalex.org/A5034550396,0,38
https://openalex.org/A5012904065,81,38
https://openalex.org/A5022109854,57,38
https://openalex.org/A5060484910,57,38
https://openalex.org/A5088804804,23,38
https://openalex.org/A5020199695,1,37
https://openalex.org/A5019012827,60,37
https://openalex.org/A5086066629,43,37
https://openalex.org/A5003777693,14,36
https://openalex.org/A5036258938,3,36
https://openalex.org/A5070500491,36,36
https://openalex.org/A5100408669,50,36
https://openalex.org/A5025717153,37,36
https://openalex.org/A5047289699,119,36
https://openalex.org/A5036744986,152,36
https://openalex.org/A5008291667,26,36
https://openalex.org/A5012787401,2,36
https://openalex.org/A5044944954,32,35
https://openalex.org/A5015080044,1,35
https://openalex.org/A5103518762,89,35
https://openalex.org/A5089173245,60,35
https://openalex.org/A5000868394,2,35
https://openalex.org/A5015478086,1,35
https://openalex.org/A5113094244,154,35
https://openalex.org/A5031600732,0,35
https://openalex.org/A5076204770,14,34
https://openalex.org/A5029392006,36,34
https://openalex.org/A5038976962,4,34
https://openalex.org/A5068497573,4,34
https://openalex.org/A5113501513,60,34
https://openalex.org/A5039903863,3,34
https://openalex.org/A5074128874,12,34
https://openalex.org/A5013164931,26,34
https://openalex.org/A5100621795,36,34
https://openalex.org/A5101566727,36,34
https://openalex.org/A5072520929,57,33
https://openalex.org/A5027171279,3,33
https://openalex.org/A5101938032,105,33
https://openalex.org/A5100607116,164,33
https://openalex.org/A5100404176,36,33
https://openalex.org/A5101510414,168,33
https://openalex.org/A5086082507,132,33
https://openalex.org/A5041680508,1,33
https://openalex.org/A5029821479,32,32
https://openalex.org/A5054482111,36,32
https://openalex.org/A5041089475,97,32
https://openalex.org/A5015100237,14,32
https://openalex.org/A5054964418,69,32
https://openalex.org/A5019051904,48,32
https://openalex.org/A5064602852,37,31
https://openalex.org/A5065112838,33,31
https://openalex.org/A5072338734,34,31
https://openalex.org/A5059911951,12,31
https://openalex.org/A5081114479,97,31
https://openalex.org/A5044134535,104,31
https://openalex.org/A5050902528,77,31
https://openalex.org/A5025165574,10,31
https://openalex.org/A5068182184,1,30
https://openalex.org/A5082205147,24,30
https://openalex.org/A5048752088,164,30
https://openalex.org/A5027706684,4,30
https://openalex.org/A5018490566,14,30
https://openalex.org/A5036998377,14,30
https://openalex.org/A5039256697,7,30
https://openalex.org/A5011228873,1,30
https://openalex.org/A5009029749,25,30
https://openalex.org/A5077408004,104,30
https://openalex.org/A5076202690,7,30
https://openalex.org/A5048176602,1,30
https://openalex.org/A5012436929,37,30
https://openalex.org/A5002900384,131,30
https://openalex.org/A5025977681,7,30
https://openalex.org/A5051784384,102,29
https://openalex.org/A5035007074,128,29
https://openalex.org/A5070726773,126,29
https://openalex.org/A5057284688,60,29
https://openalex.org/A5035286998,42,29
https://openalex.org/A5089509369,104,29
https://openalex.org/A5071698421,29,29
https://openalex.org/A5042590162,32,29
https://openalex.org/A5101740358,14,29
https://openalex.org/A5042624998,154,29
https://openalex.org/A5059385883,164,29
https://openalex.org/A5030304672,60,29
https://openalex.org/A5051459245,6,29
https://openalex.org/A5010879920,7,29
https://openalex.org/A5034878614,128,29
https://openalex.org/A5018257276,131,29
https://openalex.org/A5103619262,55,29
https://openalex.org/A5009232244,2,28
https://openalex.org/A5091116656,164,28
https://openalex.org/A5000035181,1,28
https://openalex.org/A5033244104,107,28
https://openalex.org/A5100317614,164,28
https://openalex.org/A5100629345,113,28
https://openalex.org/A5046703129,33,28
https://openalex.org/A5074705403,134,28
https://openalex.org/A5047436850,122,28
https://openalex.org/A5086893629,97,28
https://openalex.org/A5031821817,12,28
https://openalex.org/A5022754313,20,28
https://openalex.org/A5029882049,30,28
https://openalex.org/A5028089542,36,28
https://openalex.org/A5074698656,7,28
https://openalex.org/A5063360427,1,28
https://openalex.org/A5054285749,33,28
https://openalex.org/A5016267473,131,28
https://openalex.org/A5062035739,42,28
https://openalex.org/A5055458864,91,28
https://openalex.org/A5005813769,163,28
https://openalex.org/A5035935031,60,28
https://openalex.org/A5011977904,5,27
https://openalex.org/A5036086705,36,27
https://openalex.org/A5100338946,36,27
https://openalex.org/A5085765430,29,27
https://openalex.org/A5112075243,1,27
https://openalex.org/A5100662872,164,27
https://openalex.org/A5033020744,104,27
https://openalex.org/A5064152560,37,27
https://openalex.org/A5100630583,88,27
https://openalex.org/A5085054435,3,27
https://openalex.org/A5057890262,116,27
https://openalex.org/A5062093738,3,27
https://openalex.org/A5035047751,116,27
https://openalex.org/A5033081182,1,27
https://openalex.org/A5042663607,1,27
https://openalex.org/A5074616217,57,27
https://openalex.org/A5068151130,4,27
https://openalex.org/A5045014848,57,27
https://openalex.org/A5100785810,165,27
https://openalex.org/A5081712139,25,27
https://openalex.org/A5063065481,63,26
https://openalex.org/A5011472628,13,26
https://openalex.org/A5082230764,60,26
https://openalex.org/A5110845974,116,26
https://openalex.org/A5083768498,106,26
https://openalex.org/A5024782088,42,26
https://openalex.org/A5032463780,9,26
https://openalex.org/A5024268798,145,26
https://openalex.org/A5082450455,126,26
https://openalex.org/A5065919650,72,26
https://openalex.org/A5083098399,29,26
https://openalex.org/A5054638811,1,26
https://openalex.org/A5085826258,119,26
https://openalex.org/A5020087789,4,26
https://openalex.org/A5026420819,14,26
https://openalex.org/A5053044572,57,26
https://openalex.org/A5067371383,9,26
https://openalex.org/A5057467882,57,26
https://openalex.org/A5028327260,1,26
https://openalex.org/A5012168451,3,26
https://openalex.org/A5037526935,14,26
https://openalex.org/A5073875709,0,26
https://openalex.org/A5075624191,105,26
https://openalex.org/A5050006711,131,26
https://openalex.org/A5032926589,14,25
https://openalex.org/A5042734294,42,25
https://openalex.org/A5109261047,43,25
https://openalex.org/A5029805143,1,25
https://openalex.org/A5029464163,10,25
https://openalex.org/A5085507015,164,25
https://openalex.org/A5070797435,81,25
https://openalex.org/A5009248582,14,25
https://openalex.org/A5084793824,1,25
https://openalex.org/A5100339161,97,25
https://openalex.org/A5044033087,30,25
https://openalex.org/A5063941610,83,25
https://openalex.org/A5046126345,9,25
https://openalex.org/A5043821244,57,25
https://openalex.org/A5077628732,25,25
https://openalex.org/A5085320090,55,25
https://openalex.org/A5072587310,37,25
https://openalex.org/A5020720210,81,25
https://openalex.org/A5029741432,90,25
https://openalex.org/A5016711834,80,25
https://openalex.org/A5057421680,33,25
https://openalex.org/A5031982402,20,25
https://openalex.org/A5026480246,57,24
https://openalex.org/A5091491172,60,24
https://openalex.org/A5109117625,6,24
https://openalex.org/A5104357480,81,24
https://openalex.org/A5005368848,105,24
https://openalex.org/A5004372595,14,24
https://openalex.org/A5037975948,0,24
https://openalex.org/A5007376332,37,24
https://openalex.org/A5037146201,120,24
https://openalex.org/A5060610138,60,24
https://openalex.org/A5042000390,104,24
https://openalex.org/A5044734833,81,24
https://openalex.org/A5014031647,34,24
https://openalex.org/A5088066449,60,24
https://openalex.org/A5061701176,36,24
https://openalex.org/A5068981038,60,24
https://openalex.org/A5087751292,57,24
https://openalex.org/A5058284930,7,24
https://openalex.org/A5054586972,4,24
https://openalex.org/A5031797179,45,24
https://openalex.org/A5061160911,14,24
https://openalex.org/A5059846716,34,24
https://openalex.org/A5110823458,157,23
https://openalex.org/A5032094982,105,23
https://openalex.org/A5049055745,9,23
https://openalex.org/A5088776607,164,23
https://openalex.org/A5000679279,2,23
https://openalex.org/A5016704080,152,23
https://openalex.org/A5109840575,23,23
https://openalex.org/A5025445854,13,23
https://openalex.org/A5063490617,37,23
https://openalex.org/A5030252017,60,23
https://openalex.org/A5074835392,23,23
https://openalex.org/A5045384271,132,23
https://openalex.org/A5087734969,60,23
https://openalex.org/A5068354355,81,23
https://openalex.org/A5042566717,120,23
https://openalex.org/A5061164871,3,23
https://openalex.org/A5100421148,90,23
https://openalex.org/A5043650155,36,23
https://openalex.org/A5071221406,102,23
https://openalex.org/A5050966346,0,23
https://openalex.org/A5082048229,60,23
https://openalex.org/A5018952263,37,23
https://openalex.org/A5103023885,86,23
https://openalex.org/A5045037642,145,22
https://openalex.org/A5050675565,57,22
https://openalex.org/A5064234628,26,22
https://openalex.org/A5078370650,88,22
https://openalex.org/A5100374639,88,22
https://openalex.org/A5005492912,124,22
https://openalex.org/A5026245125,102,22
https://openalex.org/A5032653173,88,22
https://openalex.org/A5081036781,120,22
https://openalex.org/A5109346224,42,22
https://openalex.org/A5032381602,43,22
https://openalex.org/A5100345722,33,22
https://openalex.org/A5002041772,4,22
https://openalex.org/A5036057602,34,22
https://openalex.org/A5053957245,120,22
https://openalex.org/A5065692438,1,22
https://openalex.org/A5084044470,3,22
https://openalex.org/A5057198644,116,22
https://openalex.org/A5032200555,131,22
https://openalex.org/A5017426974,58,22
https://openalex.org/A5088940878,60,22
https://openalex.org/A5025030042,3,22
https://openalex.org/A5021398510,60,22
https://openalex.org/A5070425009,60,22
https://openalex.org/A5065544460,27,22
https://openalex.org/A5065615188,90,21
https://openalex.org/A5054358438,14,21
https://openalex.org/A5044072805,60,21
https://openalex.org/A5076107680,60,21
https://openalex.org/A5048471401,1,21
https://openalex.org/A5076554015,164,21
https://openalex.org/A5061206863,119,21
https://openalex.org/A5039841997,1,21
https://openalex.org/A5014742429,90,21
https://openalex.org/A5073873557,57,21
https://openalex.org/A5054285510,37,21
https://openalex.org/A5058840149,3,21
https://openalex.org/A5100706822,32,21
https://openalex.org/A5101808215,154,21
https://openalex.org/A5032770876,90,21
https://openalex.org/A5032539868,7,21
https://openalex.org/A5047301239,26,21
https://openalex.org/A5100364739,50,21
https://openalex.org/A5103058345,154,21
https://openalex.org/A5065008553,29,21
https://openalex.org/A5032496562,81,21
https://openalex.org/A5023603881,81,21
https://openalex.org/A5042906969,29,21
https://openalex.org/A5008389022,37,21
https://openalex.org/A5010900819,108,21
https://openalex.org/A5037344196,24,21
https://openalex.org/A5063484288,81,20
https://openalex.org/A5090855504,36,20
https://openalex.org/A5048188317,1,20
https://openalex.org/A5086289154,9,20
https://openalex.org/A5021672407,57,20
https://openalex.org/A5039450798,55,20
https://openalex.org/A5084936290,30,20
https://openalex.org/A5067457491,12,20
https://openalex.org/A5083476756,60,20
https://openalex.org/A5040701048,60,20
https://openalex.org/A5113614962,23,20
https://openalex.org/A5063367289,4,20
https://openalex.org/A5110472526,5,20
https://openalex.org/A5087956045,33,20
https://openalex.org/A5029927453,60,20
https://openalex.org/A5040872356,37,20
https://openalex.org/A5080702550,42,20
https://openalex.org/A5050109962,164,20
https://openalex.org/A5077865507,29,20
https://openalex.org/A5032323046,17,20
https://openalex.org/A5045256592,128,20
https://openalex.org/A5082923475,0,20
https://openalex.org/A5054161527,164,20
https://openalex.org/A5011527598,116,20
https://openalex.org/A5101964092,88,20
https://openalex.org/A5054831137,10,20
https://openalex.org/A5028428138,43,20
https://openalex.org/A5081978954,154,20
https://openalex.org/A5024322272,128,20
https://openalex.org/A5015441797,56,20
https://openalex.org/A5050973624,12,20
https://openalex.org/A5023952517,29,20
https://openalex.org/A5062357050,37,20
https://openalex.org/A5109832207,24,20
https://openalex.org/A5057465365,81,20
https://openalex.org/A5091783761,7,20
https://openalex.org/A5078699564,7,20
https://openalex.org/A5022270398,50,20
https://openalex.org/A5061031206,102,19
https://openalex.org/A5077791617,154,19
https://openalex.org/A5014184709,6,19
https://openalex.org/A5080267104,1,19
https://openalex.org/A5031163192,0,19
https://openalex.org/A5071617021,43,19
https://openalex.org/A5006354562,0,19
https://openalex.org/A5032474439,104,19
https://openalex.org/A5088539840,2,19
https://openalex.org/A5038309064,116,19
https://openalex.org/A5006522350,104,19
https://openalex.org/A5075148080,60,19
https://openalex.org/A5063551301,42,19
https://openalex.org/A5036584012,116,19
https://openalex.org/A5035399743,56,19
https://openalex.org/A5002661723,9,19
https://openalex.org/A5032112045,60,19
https://openalex.org/A5002595735,14,19
https://openalex.org/A5039038612,131,19
https://openalex.org/A5020295767,57,19
https://openalex.org/A5027588100,1,19
https://openalex.org/A5060736256,29,19
https://openalex.org/A5041257662,1,19
https://openalex.org/A5101627369,41,19
https://openalex.org/A5066138111,118,19
https://openalex.org/A5103390249,154,19
https://openalex.org/A5002811594,164,19
https://openalex.org/A5071412227,1,19
https://openalex.org/A5017234474,60,19
https://openalex.org/A5088486770,37,19
https://openalex.org/A5002866463,50,19
https://openalex.org/A5005635678,60,19
https://openalex.org/A5051870388,60,19
https://openalex.org/A5111981517,81,19
https://openalex.org/A5100613677,36,19
https://openalex.org/A5006624539,90,19
https://openalex.org/A5044797313,90,19
https://openalex.org/A5072833248,90,19
https://openalex.org/A5054751297,41,19
https://openalex.org/A5047569245,0,19
https://openalex.org/A5100456090,50,19
https://openalex.org/A5068416688,155,19
https://openalex.org/A5017304507,104,19
https://openalex.org/A5110188573,93,19
https://openalex.org/A5007027870,104,19
https://openalex.org/A5018641523,37,19
https://openalex.org/A5042289737,69,19
https://openalex.org/A5050821883,152,19
https://openalex.org/A5032206900,55,19
https://openalex.org/A5031121026,164,19
https://openalex.org/A5069410791,104,19
https://openalex.org/A5002597222,33,19
https://openalex.org/A5102742164,165,18
https://openalex.org/A5050035833,43,18
https://openalex.org/A5111672074,1,18
https://openalex.org/A5077937147,1,18
https://openalex.org/A5048160827,93,18
https://openalex.org/A5073073131,37,18
https://openalex.org/A5050830060,26,18
https://openalex.org/A5101539503,105,18
https://openalex.org/A5023892723,3,18
https://openalex.org/A5074243377,88,18
https://openalex.org/A5039705602,6,18
https://openalex.org/A5053820568,154,18
https://openalex.org/A5082728374,35,18
https://openalex.org/A5084972098,4,18
https://openalex.org/A5049055881,10,18
https://openalex.org/A5111545103,80,18
https://openalex.org/A5091252148,38,18
https://openalex.org/A5060983941,165,18
https://openalex.org/A5061868395,154,18
https://openalex.org/A5029294803,31,18
https://openalex.org/A5086339933,41,18
https://openalex.org/A5025611053,69,18
https://openalex.org/A5086852785,0,18
https://openalex.org/A5070636215,116,18
https://openalex.org/A5016085579,69,18
https://openalex.org/A5101771060,36,18
https://openalex.org/A5061340195,14,18
https://openalex.org/A5100752356,9,18
https://openalex.org/A5111987183,1,18
https://openalex.org/A5084102683,60,18
https://openalex.org/A5055464615,81,18
https://openalex.org/A5076776322,131,18
https://openalex.org/A5001002298,55,18
https://openalex.org/A5081994847,60,18
https://openalex.org/A5100731440,36,18
https://openalex.org/A5024445264,60,18
https://openalex.org/A5073215738,131,18
https://openalex.org/A5005013018,60,18
https://openalex.org/A5069257022,48,18
https://openalex.org/A5059507519,1,18
https://openalex.org/A5001383313,1,18
https://openalex.org/A5011961838,57,18
https://openalex.org/A5040213166,77,18
https://openalex.org/A5044508978,81,18
https://openalex.org/A5058128591,166,18
https://openalex.org/A5060092928,105,18
https://openalex.org/A5105422639,93,18
https://openalex.org/A5024664329,9,18
https://openalex.org/A5016533452,60,18
https://openalex.org/A5076562897,57,18
https://openalex.org/A5057850897,116,18
https://openalex.org/A5058700879,120,18
https://openalex.org/A5073126169,57,18
https://openalex.org/A5073048968,80,18
https://openalex.org/A5083980012,1,18
https://openalex.org/A5064297795,14,18
https://openalex.org/A5091251187,14,18
https://openalex.org/A5090030525,57,18
https://openalex.org/A5030728942,55,18
https://openalex.org/A5046600700,50,18
https://openalex.org/A5100415519,163,18
https://openalex.org/A5108068260,105,17
https://openalex.org/A5082372443,1,17
https://openalex.org/A5050383612,26,17
https://openalex.org/A5062445193,128,17
https://openalex.org/A5087643275,42,17
https://openalex.org/A5082623356,60,17
https://openalex.org/A5038754931,80,17
https://openalex.org/A5054773299,116,17
https://openalex.org/A5101876924,84,17
https://openalex.org/A5083350270,131,17
https://openalex.org/A5001806573,131,17
https://openalex.org/A5003457106,60,17
https://openalex.org/A5014346055,29,17
https://openalex.org/A5042890616,1,17
https://openalex.org/A5100451576,36,17
https://openalex.org/A5060904065,120,17
https://openalex.org/A5000706062,0,17
https://openalex.org/A5101842007,29,17
https://openalex.org/A5100757553,36,17
https://openalex.org/A5039440957,26,17
https://openalex.org/A5044033735,119,17
https://openalex.org/A5050732025,116,17
https://openalex.org/A5025477433,43,17
https://openalex.org/A5059879982,1,17
https://openalex.org/A5062793362,116,17
https://openalex.org/A5060448366,128,17
https://openalex.org/A5089644488,60,17
https://openalex.org/A5022392874,34,17
https://openalex.org/A5073843631,68,17
https://openalex.org/A5075228752,1,17
https://openalex.org/A5074322711,23,17
https://openalex.org/A5108397698,23,17
https://openalex.org/A5111677737,33,17
https://openalex.org/A5024540155,60,17
https://openalex.org/A5073578227,14,17
https://openalex.org/A5024076805,42,17
https://openalex.org/A5104581749,42,17
https://openalex.org/A5040672500,32,17
https://openalex.org/A5015628494,29,17
https://openalex.org/A5091181729,29,17
https://openalex.org/A5075256301,154,17
https://openalex.org/A5021334421,23,17
https://openalex.org/A5049197241,50,17
https://openalex.org/A5036639779,10,17
https://openalex.org/A5043443404,164,17
https://openalex.org/A5086305845,43,17
https://openalex.org/A5008033989,0,17
https://openalex.org/A5049354209,9,17
https://openalex.org/A5101223010,105,17
https://openalex.org/A5031236554,1,17
https://openalex.org/A5076022753,34,17
https://openalex.org/A5062839117,34,17
https://openalex.org/A5026131228,95,17
https://openalex.org/A5075376655,105,17
https://openalex.org/A5100643225,14,17
https://openalex.org/A5001751425,23,17
https://openalex.org/A5101574653,23,16
https://openalex.org/A5035165297,1,16
https://openalex.org/A5065739319,50,16
https://openalex.org/A5072602785,23,16
https://openalex.org/A5038940357,26,16
https://openalex.org/A5062909392,166,16
https://openalex.org/A5100754441,88,16
https://openalex.org/A5102164047,96,16
https://openalex.org/A5059176096,104,16
https://openalex.org/A5101659493,105,16
https://openalex.org/A5043326652,1,16
https://openalex.org/A5101973930,154,16
